,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
100,-530.6296,145.90327,-36.1707,-3.2313807,-6.7301736,2.1327646,-13.259406,-9.205527,-6.895367,-8.151416,-7.118715,-7.3077893,-9.242633
101,-550.8322,138.9099,-11.876444,1.5082049,-2.6212432,3.2181706,-9.656418,-8.606271,-6.63157,-9.327176,-5.6447287,-9.797267,-5.901334
102,-559.8006,143.64078,-14.152296,0.46599922,-6.730741,3.7290041,-11.967867,-6.599791,-8.561721,-8.387355,-8.707634,-7.957405,-7.355791
103,-563.44806,142.50148,-7.4154434,2.3993928,-7.8832145,2.8858757,-11.655568,-8.043944,-8.868646,-8.832975,-6.919786,-6.958464,-5.013899
104,-564.59467,144.36214,-12.11216,-0.06875656,-8.02848,2.26272,-12.876731,-6.8735104,-5.6271405,-6.653842,-6.427771,-6.2584844,-8.277392
105,-558.6564,142.92888,-9.695758,-0.16587444,-11.325708,3.10448,-10.505853,-5.6488757,-5.1998334,-8.063706,-7.173429,-7.705346,-5.3755274
106,-554.378,143.53862,-12.630167,5.0635104,-10.039052,2.0662475,-11.7046995,-4.33754,-5.8736224,-8.550039,-8.107198,-6.879086,-7.040497
107,-563.9704,143.6962,-4.760506,-5.175219,-9.493353,-0.3686843,-4.969842,-5.671239,-5.4247828,-9.079784,-3.5769315,-4.7958508,-4.213717
108,-563.8423,146.6599,-9.758025,-1.1774434,-9.670866,1.7764302,-8.02297,-3.701841,-7.509335,-6.7995296,-4.242895,-4.8661757,-5.127781
109,-553.95825,156.43271,-11.930082,-7.085076,-10.548385,0.592726,-10.184262,-7.108493,-9.131557,-6.7331686,-7.8064833,-5.6184783,-5.1885023
110,-555.68536,151.7677,-11.968765,-1.4904015,-8.774049,3.173444,-8.380386,-4.7271104,-8.749591,-7.761662,-5.292835,-5.3355994,-6.206636
111,-552.3551,141.43747,-27.506102,-1.4285524,-5.940158,1.3207952,-12.053022,-7.1972704,-6.8415256,-5.4330416,-6.680882,-7.6222095,-7.6894584
112,-574.63104,137.79788,-6.3326125,5.0835586,-8.31697,0.9797757,-13.279626,-8.86434,-12.747766,-10.305567,-8.330276,-9.20617,-4.475306
113,-548.6413,143.59329,-18.940434,4.96941,-4.0902596,3.928321,-14.644379,-9.415251,-9.03144,-10.220065,-8.679612,-6.4802246,-7.5683136
114,-520.9085,153.08894,-31.468313,-0.26247522,-6.798297,-1.4914283,-14.1585655,-9.639908,-9.920638,-9.373385,-5.786757,-8.914382,-7.4553747
115,-537.52814,141.92775,-20.037687,1.2185746,-4.4448867,0.17585371,-12.01189,-9.235298,-7.113364,-13.112988,-6.8381476,-6.9641037,-5.9432697
