,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_delta1_0,mfcc_delta1_1,mfcc_delta1_2,mfcc_delta1_3,mfcc_delta1_4,mfcc_delta1_5,mfcc_delta1_6,mfcc_delta1_7,mfcc_delta1_8,mfcc_delta1_9,mfcc_delta1_10,mfcc_delta1_11,mfcc_delta1_12,mfcc_delta1_13,mfcc_delta1_14,mfcc_delta1_15,mfcc_delta1_16
31,-572.0572,121.15351,5.9658766,5.83749,-1.5697306,2.6726933,-4.5543733,-7.256811,1.9099721,-4.2492423,-3.0189385,-1.4990388,1.3006426,-4.278049,-1.5087619,-1.4477521,-0.9265867,0.0078049987,-0.0019542254,-0.008176002,-0.007178512,0.0005737452,0.003009666,0.00240224,0.0054020784,0.0047723446,-0.0018480631,-0.0020266522,0.0040879273,0.0040814145,-0.0065186745,-0.012124856,-0.005180962,0.0012863701
32,-545.6983,116.35556,-4.409217,8.084828,1.0303292,2.6177623,-2.496209,-5.629593,-1.86852,-6.2469835,-3.2584863,-2.959069,-3.9997962,-6.096046,-2.6580298,-2.6598096,-2.9921181,0.03823674,0.014440173,-0.023553755,-0.021143926,-0.02977797,-0.02876021,-0.013041126,-0.0066329567,-0.00039441878,-0.0013960091,0.008747661,0.020714173,-0.0040300535,-0.014243015,0.010260586,0.019324977,0.016136695
33,-537.67926,134.71306,-4.5327845,6.458971,-0.4160848,0.22235462,-9.362266,-10.341046,2.5101776,-8.062428,-8.07476,-6.999519,-2.1597471,-7.7427998,-5.032623,-3.9730382,-3.0059757,-0.047754463,-0.028710768,-0.0238344,-0.019835517,-0.019040162,-0.018714266,0.0060490347,0.0027736116,0.021394245,0.018044302,0.027421225,0.027071754,0.010189074,0.016873797,0.014675064,0.009392098,0.000244559
34,-592.8064,107.08213,4.3769875,9.546607,0.42976412,3.5187593,4.2716546,-2.4439518,0.5899718,-4.034645,-0.28576282,-2.9267304,-1.1742548,-3.5418594,-1.5502838,-2.2889159,-1.5301123,0.022163117,-0.009940794,-0.04104972,-0.018172216,-0.011092654,-0.0065611275,-0.019446623,-0.015367508,0.0017824183,-0.0018112689,0.0042847274,0.0045859045,0.007311604,0.00068815023,0.009284548,0.014868067,0.02211122
35,-527.37335,108.0231,10.248007,5.3767977,10.827052,7.9082465,-2.9042437,-2.6431215,0.921862,-2.4243846,-2.29887,-2.2489226,-4.152369,-4.736357,-4.4134407,-5.740388,-7.012353,-0.04637773,-0.012647058,-0.016312104,-0.037938684,0.0046161786,0.00021955172,0.006167373,0.0071047316,-0.010581448,-0.002598087,0.012482535,0.017347403,0.008165415,-0.0041324086,0.006334952,0.012894964,0.0066766837
36,-480.89755,86.53725,3.4100864,-10.515843,-0.12341942,-0.6410967,-13.353883,-13.665908,-6.6111126,-7.355633,-7.810216,-3.596083,-4.2706895,-7.7629037,-5.8552985,-3.5459392,-4.07541,-0.009510815,6.847266e-06,0.0018905796,-0.003918374,0.0015304224,-0.0026774858,-0.001374297,0.001801336,-0.00086002867,-0.0015542828,-0.0019251165,-0.0022263722,0.000371767,0.0024487535,0.0011828457,0.0011438723,0.0011811864
37,-507.5112,122.49696,-9.279888,-6.3396883,2.7445576,1.1393492,-14.171757,-12.027995,-2.8436637,-8.105313,-8.331164,-1.6920233,-2.0020401,-5.5384254,-3.3067863,-2.0800433,-2.4594324,-0.010987858,-0.006394614,0.0033778471,0.0019634627,-0.00038899365,-0.0008785797,-0.00047537568,0.00072022463,0.0017409303,0.0010217895,-0.00025900474,0.00042468795,0.00036423138,-0.0007586715,-0.00040966077,0.00154823,0.0024692684
38,-520.8087,124.90806,-3.2759023,-4.7218266,3.7801194,3.066941,-10.631955,-10.042986,-1.5092887,-5.6591964,-5.976821,0.22679013,-1.3100144,-5.9944944,-3.8167238,-2.1856713,-1.044576,-0.006663725,-0.0024369971,0.0035007177,0.0015289267,0.0005999873,0.00021949927,0.0008731597,0.0008889992,0.00046000106,0.0016382866,0.000611044,-0.000916341,-0.000122639,0.00051969494,9.467186e-06,-0.00039568724,0.000117583055
39,-540.0381,133.72832,-7.575199,2.5247521,3.8452935,5.9315634,-9.735284,-11.419069,-0.9468811,-6.205703,-3.588178,-3.6040695,1.227281,-6.253025,-3.0123844,-1.7750953,-0.80979776,-0.019803476,-0.017440012,-0.0012755765,-0.0017037953,-0.004384679,-0.0038032304,0.001162972,0.0048962985,0.0024070237,0.0034823876,0.0027999172,0.00033789556,0.00059303653,0.0007234036,-0.0016970127,0.0012520034,0.005028778
40,-541.4328,132.80309,-6.055501,-2.6490617,-1.9182163,2.532727,-7.1778464,-8.929184,-1.5206109,-6.9851956,-2.4938655,-1.3630049,2.194799,-6.569478,-5.189692,-3.6126459,-1.4449952,0.03769124,-0.009754823,-0.031941473,-0.0017483984,-0.0016822651,0.0070977597,-0.0038812093,-0.0024687767,-0.010769522,-0.014765814,-0.0027549125,-0.010135437,-0.009171154,-0.0006901281,0.008833597,0.005074993,0.0026306277
