,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
3244,0.31668484,-12.283722,13.849915,0.0841432,-0.047287446,0.047308564,27.453314,-14.01579,-4.167101,-19.055069,32.85529,0.0,0.0,4.9213624,-4.7344193,18.778452,586.1082,1508.9248,1.1424373,1428.396,1397.8561,-7.8482947,2366.2402,649.909,-14.661077
3245,0.28004655,-10.922643,13.880242,0.12522447,-0.041656654,0.020426283,20.194988,-8.620104,10.053507,-48.429142,37.3184,0.0,0.0,0.33984864,0.81560403,13.784387,887.5932,1335.8168,-2.5864258,2119.2747,331.74927,-12.751431,3060.787,766.7758,-6.8279586
3246,0.48242345,-9.416208,30.152468,0.10674068,-0.037558537,0.11727116,34.76276,-10.386771,-19.34183,-51.989307,37.32297,0.0,0.0,-2.1537633,-7.2222533,23.685152,839.4839,1070.1888,7.1807423,1910.5524,778.8081,-9.439815,3132.2644,384.1765,-17.05716
3247,0.8922642,-20.930182,29.075905,0.124584116,-0.046035722,0.28131542,27.1863,-8.536347,4.717978,-39.656666,33.95468,0.0,3.7910278,8.674057,-19.652351,7.095227,716.60425,1514.3522,21.678694,1786.0621,915.69476,1.9601275,2826.8523,510.24448,7.4597373
3248,0.12155014,0.4781281,15.829124,0.03584355,0.001233417,0.018304138,12.613814,-13.702855,-16.257553,3.6970408,37.664448,0.0,0.0,-12.370818,-10.70917,17.891472,615.3194,903.978,5.589878,1653.2533,846.20917,-0.5275438,2910.0725,1629.7026,-16.781713
3249,0.3013471,-1.8740557,9.95901,0.07693034,-0.016339166,0.055523176,1.5644999,-18.928175,-13.56371,-27.666712,0.0,0.0,0.0,0.0,0.0,0.0,319.46768,929.29755,-201.0,1507.8535,633.35223,-131.91716,2752.5027,1466.5605,-133.3282
3250,0.05749983,-13.122815,21.401636,0.014786567,-0.013708413,0.004202658,14.245454,13.645484,17.787615,4.192114,35.70055,0.0,1.1445334,0.42894754,10.391646,30.544106,1070.4818,1278.2797,-19.907858,2050.26,780.8016,-33.37115,3050.216,699.5669,-29.73036
3251,0.22495098,-20.902288,26.643776,0.1457203,-0.04403312,0.016713066,26.816496,6.313648,21.50207,-41.39314,39.250454,0.0,0.0,9.006859,7.011145,24.170515,867.18604,1232.1156,-20.091467,2228.2742,268.16263,-36.853302,3272.7383,906.98773,-37.250835
3252,0.31009394,-16.084562,23.599688,0.14046405,-0.049620997,0.059030037,38.16827,-7.946917,-11.375885,-14.795606,19.76469,0.0,0.0,-1.8819059,-18.067251,-0.39406395,847.66656,1420.102,23.788492,1882.8478,825.5344,14.849307,2982.0754,716.9097,11.36686
3253,0.33042195,-16.772673,21.570253,0.10731492,-0.037092064,0.20823102,31.055578,-7.321342,-6.169513,-22.176773,38.67806,0.0,0.0,9.033169,-4.6231112,15.472435,471.72314,1614.6782,0.0,1471.6271,1177.6533,-6.9061437,2769.6504,641.5276,-9.037353
