,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
73,-428.56973,182.12976,-56.00491,12.726523,-24.228542,2.4515316,-28.574377,-6.6864443,-8.8470745,-18.178585,-0.77977085,-6.911244,-7.7344637
74,-425.6354,183.43425,-54.070827,7.7897663,-20.074963,1.1333517,-27.159637,-9.936234,-6.1943226,-19.161964,-0.9489489,-6.098813,-7.16061
75,-422.15652,189.23286,-60.903873,9.202857,-19.798689,3.9530613,-28.390915,-8.372126,-6.2490253,-16.924625,-1.6413494,-4.90766,-6.632243
76,-423.5858,185.21228,-57.374794,12.836748,-21.153223,1.6651496,-27.296867,-4.0265837,-5.850856,-15.909341,1.434375,-4.1384535,-5.842633
77,-432.03726,182.0368,-61.022728,15.809832,-26.89678,4.8703995,-30.254667,-2.9112208,-10.528567,-15.666388,-1.5122014,-5.3497486,-9.11484
78,-432.5367,182.47589,-61.233894,14.684141,-26.720638,3.967829,-30.756716,-2.5022755,-10.562204,-15.478189,-0.8906674,-5.388264,-9.131928
79,-430.98834,175.44804,-52.16608,8.8408165,-21.105097,-0.904958,-24.371784,-7.0435333,-6.342768,-19.178072,0.9580063,-7.2392955,-7.2281
80,-432.43335,181.04341,-58.98078,13.407275,-25.755428,3.4955606,-29.041075,-5.1267405,-8.988273,-16.274153,-0.9831404,-5.7305202,-8.048502
81,-425.69675,186.51129,-57.910152,10.730642,-21.091766,3.0518184,-28.685995,-6.5072002,-6.086069,-17.27771,-0.38855705,-4.4389105,-6.4210973
82,-427.9096,186.67679,-56.997437,11.26836,-20.254177,3.3074286,-27.727486,-5.7806664,-5.4215593,-15.944625,-0.012314193,-3.6409748,-6.104013
83,-429.52637,191.47331,-58.29768,12.843045,-20.350613,6.6506863,-29.791931,-4.9008393,-6.6793737,-13.979297,-1.4792275,-1.0394142,-6.748115
84,-418.6511,185.7438,-52.248444,2.9988601,-15.339272,0.2752335,-26.101305,-11.329247,-3.8171632,-19.869831,-1.8299867,-4.8084817,-7.092327
85,-425.0574,188.23047,-58.04322,10.741627,-19.03644,2.6600277,-28.439613,-6.023495,-4.9508543,-15.940122,0.13887604,-3.4650497,-6.0727654
86,-419.8183,181.52711,-61.692253,9.277096,-23.42031,0.5640043,-27.211597,-7.510977,-7.01381,-16.608597,0.47387135,-7.1666,-7.1924214
87,-423.58624,180.65053,-58.040195,11.637109,-23.976435,0.71007913,-27.64399,-4.014643,-7.862122,-18.620218,1.5544446,-7.856324,-7.191048
88,-429.34692,185.56607,-59.539986,11.9719095,-26.349625,3.8403354,-30.088638,-4.7480288,-9.270404,-15.56802,-0.98193717,-4.069089,-7.779561
89,-417.38617,178.57404,-47.37902,0.4556984,-11.585515,-2.640685,-23.141445,-11.803668,-2.6501734,-18.955275,-0.79757094,-3.710481,-7.2082505
90,-426.13467,184.72975,-58.86437,12.136435,-21.726936,1.3713435,-27.68816,-4.390858,-6.335888,-16.49792,0.62979865,-4.994756,-6.7572613
91,-407.803,187.30983,-48.201965,2.0592296,-10.215123,-4.338553,-22.971142,-10.090932,-3.2672968,-17.746922,-1.2702253,-4.517901,-6.874551
92,-423.12946,191.00043,-56.02481,11.975629,-18.134464,3.5223396,-27.47656,-4.7069283,-4.14206,-13.758403,0.7507271,-2.1882803,-5.333639
93,-429.0445,190.7845,-56.301243,14.103036,-20.74744,6.13654,-29.536026,-4.615436,-7.196779,-13.430128,-1.6002948,-2.377989,-7.5695047
94,-415.48886,174.4487,-48.64564,2.0108042,-14.483573,-3.3297298,-23.226585,-10.920951,-4.0557094,-19.403063,-0.15800002,-5.230625,-7.734879
95,-423.37518,184.6177,-59.01524,11.923001,-21.397839,1.0025879,-28.318827,-3.5094955,-5.956885,-16.300669,1.5152512,-4.1704106,-6.317726
96,-431.80756,180.16383,-56.139095,12.757528,-23.279673,3.310664,-26.898476,-7.811848,-8.247522,-16.719868,-0.17496759,-6.849675,-8.188529
97,-424.32663,180.70337,-60.685646,10.82811,-24.711468,1.4689293,-27.661102,-6.807493,-9.100397,-17.451326,0.029326066,-7.7605057,-8.2007885
98,-419.06427,178.39926,-53.1832,4.213834,-15.762501,0.014497829,-24.871662,-10.935187,-4.609456,-19.843533,-0.5280528,-5.435871,-7.377988
99,-425.42096,187.68207,-57.913406,10.9139385,-20.19779,3.1305485,-28.959812,-6.296845,-6.245228,-16.652493,-0.53543353,-4.1528583,-6.514278
100,-425.2667,187.3325,-57.01259,9.939367,-19.078127,3.0540998,-28.58086,-7.4765024,-5.6112437,-17.413673,-0.32732418,-3.8560257,-6.2890444
101,-429.14856,189.03387,-60.54834,10.799223,-22.794971,4.9992814,-30.984657,-7.014139,-7.4892178,-16.901007,-2.940161,-3.653699,-7.7437415
102,-423.8281,186.46019,-55.743088,9.3835125,-18.144964,3.3283527,-27.419447,-8.417561,-4.2986526,-17.40114,-0.36751816,-3.5785582,-5.8111496
103,-432.19354,181.44745,-59.16971,16.790775,-26.422997,5.7468934,-29.427088,-3.1559136,-10.306912,-15.88184,-1.9804796,-4.834761,-9.0325575
104,-429.7384,188.54591,-59.273895,11.8062,-21.107342,4.602759,-29.37887,-5.2420254,-6.886037,-16.121376,-0.9411307,-3.2350068,-6.931404
105,-427.8853,184.65656,-58.577564,11.317046,-23.849312,3.8432581,-28.475222,-5.7113776,-8.579381,-17.093922,-0.66230273,-5.504544,-7.4666348
106,-423.49332,192.66899,-62.481308,10.385116,-20.85588,6.240785,-30.56846,-6.442768,-6.7840037,-18.168278,-3.1141002,-2.878177,-7.5754375
107,-425.09708,189.15866,-62.637085,10.026338,-23.058542,4.616769,-30.686947,-7.0902214,-7.560193,-17.602425,-3.4367926,-4.06342,-7.624581
108,-421.36166,179.76855,-60.498253,13.228324,-25.807047,0.7598232,-29.324795,-3.039086,-8.549856,-18.337648,1.1528332,-6.4628468,-7.3027806
109,-425.11945,191.12265,-60.3585,10.282396,-20.830715,6.350805,-30.707972,-8.452502,-7.3435025,-18.081615,-4.1086907,-3.6421733,-7.5551944
110,-416.4098,188.66747,-60.31654,10.738417,-20.66028,-0.40136018,-28.529484,-6.065227,-6.483792,-16.692085,0.5256488,-4.9140167,-6.4418535
111,-422.50778,175.7645,-52.354393,8.102562,-20.247015,-1.0999542,-24.259888,-9.928832,-7.025567,-19.641882,-0.53717303,-7.437352,-7.131683
112,-432.28287,184.63751,-61.346256,12.691107,-26.041983,3.0744708,-31.37469,-6.1929154,-9.849865,-17.482267,-0.5368135,-6.342113,-8.273976
113,-416.00867,183.72305,-49.34258,5.060242,-12.059853,-5.0192842,-24.028337,-9.532259,-2.286256,-16.566528,2.0402296,-2.5788066,-5.687328
114,-418.73114,186.30042,-50.539333,5.335199,-14.581664,-2.5840738,-27.132198,-11.95101,-5.271957,-20.154495,-0.71727127,-5.645987,-7.4996285
115,-413.63754,176.76993,-42.606075,3.086005,-14.077877,-6.9713917,-25.363785,-13.654961,-7.0065866,-21.655437,-1.2604022,-8.269433,-10.086838
116,-418.7358,181.2254,-52.027508,9.060455,-21.98719,-3.2687128,-27.947014,-9.514009,-7.813387,-20.59106,0.58927387,-7.8684216,-7.554644
117,-425.54968,176.10124,-50.66432,7.6326065,-19.735804,-2.3979871,-25.50365,-10.779805,-7.057718,-19.405222,1.3975728,-7.182372,-7.8617
118,-413.65677,185.60129,-50.787205,-1.9438125,-12.633176,-4.346136,-27.215641,-14.443288,-4.2426915,-22.105934,-2.2037606,-3.7606218,-8.06275
119,-418.5363,187.13654,-54.916443,4.914858,-20.69197,-1.5707586,-28.16997,-11.510806,-5.908936,-20.302206,-1.6964301,-6.274411,-6.9107065
120,-420.30948,183.31648,-51.418026,3.753923,-14.293218,-3.4748387,-26.174347,-10.643614,-4.3040257,-19.23452,0.217514,-4.6831017,-7.1927023
