,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
36,-400.26862,171.08974,-39.69942,-3.9275205,-8.590318,-6.6905336,-20.56561,-12.8745575,-3.7830799,-17.271551,-2.0984678,-3.344075,-7.651432
37,-415.4429,186.02722,-51.254276,6.049239,-15.485408,2.2453938,-25.772217,-9.699905,-4.5418653,-17.376574,-0.46997386,-3.8473027,-5.595736
38,-411.08405,183.0099,-48.19436,0.73642606,-15.152522,-1.5496478,-23.96406,-11.366086,-4.0389557,-19.232138,-1.5693748,-4.154533,-6.0038986
39,-401.80063,168.79971,-35.061737,-7.11555,-5.683333,-7.992958,-19.413982,-12.125192,-3.672219,-17.083994,-1.8461344,-2.1807673,-8.725378
40,-426.49203,174.33192,-52.978092,8.510498,-21.548607,-1.1496465,-25.866915,-6.471847,-7.315401,-17.785383,0.93252456,-7.247975,-7.681478
41,-397.7413,172.45753,-37.64294,-8.398791,-5.4074836,-6.3376412,-21.013212,-14.296872,-4.601525,-18.54853,-4.618225,-3.1431804,-9.492041
42,-400.38196,158.09903,-25.701946,-8.999418,-3.8479865,-9.353466,-17.729828,-13.307706,-6.70174,-15.418778,-1.9169165,-3.0855622,-10.246491
43,-402.64514,165.46834,-32.97072,-7.562561,-7.285933,-8.80398,-18.10287,-12.381769,-5.8446565,-17.587463,-1.4044113,-4.916824,-11.083541
44,-411.80743,181.99686,-46.60024,-0.56472033,-11.320007,-1.183116,-23.6214,-12.819231,-3.2557547,-18.734121,-1.8100938,-3.0046003,-6.200282
45,-407.74603,163.55014,-39.16902,-2.756147,-9.342643,-6.464574,-17.337421,-11.192902,-3.4874153,-15.862066,0.582971,-4.0165906,-8.484516
46,-400.15906,171.76071,-42.50107,-2.2820408,-11.339425,-9.453573,-21.172955,-9.362097,-3.0231984,-17.89466,0.49206427,-3.781964,-8.223637
47,-411.4345,178.70404,-50.038494,0.27241275,-14.820634,-2.7038848,-25.101343,-12.887223,-4.170483,-19.519655,-2.410808,-4.808311,-8.225186
48,-426.35406,180.86188,-52.034294,7.1009645,-18.27561,0.8170398,-26.113361,-9.380429,-5.8991823,-17.232855,-1.223115,-4.3478894,-7.2628202
